type_route;accidents;blesses_graves;tues;score
Route départementale;20658;12552;2364;70134
Voie communale;22910;7191;846;48713
Autoroute;5092;1278;252;10186
Route nationale;3531;1607;328;9992
Route métropolitaine;1500;637;108;3951
Parking public;439;160;25;1044
Autre;216;105;24;651
Hors réseau public;56;26;5;159
